num,exchange,symbol,min_qty,min_cost,last_price,c_mult,effective_min_cost,first_timestamp,market_cap
120,binanceusdm,DUSKUSDT,1,5,0.3242,1,5,1.64151E+12,136342408
121,binanceusdm,FLOWUSDT,0.1,5,0.869,1,5,1.64445E+12,1291014920
122,binanceusdm,IMXUSDT,1,5,2.947,1,5,1.64454E+12,3992740694
123,binanceusdm,API3USDT,0.1,5,3.711,1,5,1.64549E+12,320286932
124,binanceusdm,GMTUSDT,1,5,0.2589,1,5,1.6473E+12,452176168
125,binanceusdm,APEUSDT,1,5,1.4875,1,5,1.64748E+12,548112510
126,binanceusdm,WOOUSDT,1,5,0.40774,1,5,1.64938E+12,745542657
127,binanceusdm,JASMYUSDT,1,5,0.005941,1,5,1.65041E+12,293066478
128,binanceusdm,DARUSDT,0.1,5,0.1293,1,5,1.65119E+12,51699175
129,binanceusdm,GALUSDT,1,5,2.378,1,5,1.65171E+12,250485373
130,binanceusdm,OPUSDT,0.1,5,3.7979,1,5,1.65404E+12,3634041185
131,binanceusdm,INJUSDT,0.1,5,36.938,1,5,1.66069E+12,3449792285
132,binanceusdm,STGUSDT,1,5,0.573,1,5,1.66139E+12,117104648
133,binanceusdm,FOOTBALLUSDT,0.01,5,441.08,1,5,1.66199E+12,#N/A
134,binanceusdm,SPELLUSDT,1,5,0.0005791,1,5,1.66242E+12,62282268
135,binanceusdm,1000LUNCUSDT,1,5,0.11739,1,5,1.66268E+12,678495058
136,binanceusdm,LUNA2USDT,1,5,0.6762,1,5,1.66277E+12,#N/A
137,binanceusdm,LDOUSDT,1,5,3.0961,1,5,1.6638E+12,2756359695
138,binanceusdm,CVXUSDT,1,5,3.374,1,5,1.6638E+12,315523491
139,binanceusdm,ICPUSDT,1,5,13.359,1,13.359,1.66424E+12,6115142921
140,binanceusdm,APTUSDT,0.1,5,9.216,1,5,1.66614E+12,3356905370
141,binanceusdm,QNTUSDT,0.1,5,106.6,1,10.66,1.66622E+12,1286700458
142,binanceusdm,BLUEBIRDUSDT,0.1,5,8.703,1,5,1.66735E+12,#N/A
143,binanceusdm,FETUSDT,1,5,0.6671,1,5,1.67391E+12,554749287
144,binanceusdm,FXSUSDT,0.1,5,9.181,1,5,1.67417E+12,703293693
145,binanceusdm,HOOKUSDT,0.1,5,0.9348,1,5,1.67443E+12,117632627
146,binanceusdm,MAGICUSDT,0.1,5,1.3017,1,5,1.6746E+12,336845073
147,binanceusdm,TUSDT,1,5,0.02716,1,5,1.67521E+12,260584155
148,binanceusdm,RNDRUSDT,0.1,5,4.8166,1,5,1.67538E+12,1810357296
149,binanceusdm,HIGHUSDT,0.1,5,1.4972,1,5,1.67573E+12,75428382
150,binanceusdm,MINAUSDT,1,5,1.4083,1,5,1.67573E+12,1479083114
151,binanceusdm,ASTRUSDT,1,5,0.19266,1,5,1.67633E+12,1071275695
152,binanceusdm,AGIXUSDT,1,5,0.3116,1,5,1.67651E+12,390485111
153,binanceusdm,PHBUSDT,1,5,1.0419,1,5,1.67651E+12,50051294
154,binanceusdm,GMXUSDT,0.01,5,43.31,1,5,1.67659E+12,408051229
155,binanceusdm,CFXUSDT,1,5,0.2258,1,5,1.67685E+12,845053754
156,binanceusdm,STXUSDT,1,5,2.0072,1,5,1.67694E+12,2886945447
157,binanceusdm,BNXUSDT,0.1,5,0.2844,1,5,1.67702E+12,96362948
158,binanceusdm,ACHUSDT,1,5,0.019328,1,5,1.67702E+12,140925438
159,binanceusdm,SSVUSDT,0.01,5,32.13,1,5,1.6772E+12,321177569
